Part,Eden Prarie,SpringField,West Fargo
EVWS134        ,2.22%,-10.49%,-0.95%
EVWS200        ,0.31%,34.89%,2.93%
EVWS300        ,-3.28%,9.73%,-0.62%
EVWS34         ,0.43%,24.72%,-9.41%
FLANG19        ,0.63%,-1.00%,-0.08%
FLSPLICE10     ,2.94%,23.72%,-0.14%
FLSPLICE12     ,-4.80%,-11.56%,-0.81%
FLSPLICE14     ,2.81%,0.24%,-0.32%
FLSPLICE16     ,2.89%,-0.21%,0.47%
LM1010203      ,33.33%,-33.33%,-54.55%
LM115005       ,-32.35%,-89.01%,-12.66%
LM1550B18L     ,1.16%,-21.43%,95.40%
LM373LM        ,1.16%,10.34%,-3.13%
LM3BUT         ,20.00%,-17.39%,2.17%
LM410136       ,20.00%,200.00%,-114.29%
LM4118         ,-100.00%,-47.83%,25.42%
LM41D77427     ,-200.00%,-16.67%,44.44%
LM4810         ,13.04%,14.29%,2.50%
LM4814         ,-77.78%,69.23%,6.90%
LM4816         ,20.00%,250.00%,84.62%
LM711550B22LGH ,75.86%,16.22%,-1.83%
LM711550B22QGH ,137.50%,1350.00%,4.55%
LM711550B32LGH ,287.50%,63.64%,4.84%
LM716125       ,21.43%,-29.41%,18.75%
LM813LM        ,-100.00%,-100.00%,-100.00%
LM877LM        ,0.54%,3.38%,9.77%
LM878MAX       ,-38.57%,-5.26%,-300.00%
LM893LM        ,0.47%,-43.36%,-0.53%
LM893MAX       ,6.54%,-28.57%,-69.05%
LMDTCHS        ,83.33%,14.86%,-2.90%
LMDTCHS20      ,-26.23%,-15.15%,3.39%
LMDTK48        ,60.71%,78.57%,31.58%
LMK410388000MC ,-300.00%,100.00%,200.00%
LMK7915016     ,-100.00%,12.50%,100.00%
LMRLEA10       ,3.45%,0.96%,23.08%
LMRLEA12       ,-12.73%,-24.06%,8.02%
LMRLEA14       ,12.93%,13.61%,10.12%
LMRLEA16       ,19.58%,-7.53%,11.24%
LMRLEA18       ,1.79%,-0.48%,-1.43%
LMTDC4114      ,-11.11%,31.25%,14.46%
LMTDC4116      ,14.29%,-5.77%,5.49%
LMTDC4118      ,-35.00%,7.32%,-9.09%
LMTDC4810      ,-100.00%,-2.70%,-5.36%
LMTDC4812      ,-112.50%,20.83%,-14.94%
LMTENSER       ,-2.50%,-38.78%,-12.95%
MAN4112        ,-16.67%,-45.16%,-2.94%
MAN4114        ,20.00%,-42.86%,-9.30%
MAN4118        ,50.00%,-10.34%,9.59%
MAN4812        ,48.48%,-1.64%,76.19%
MAN4814        ,-100.00%,-41.28%,2.82%
MAN4816        ,1100.00%,35.00%,-45.68%
MANDTK41       ,25.00%,18.75%,3.03%
MANRADIOEM101  ,25.00%,-21.31%,-6.10%
MANRADIOEM103MD,-25.00%,17.11%,-7.02%
MANRAILEA16    ,45.00%,-2.94%,6.83%
P603WL         ,-23.22%,-0.50%,23.74%
P603WL125      ,-15.63%,-0.96%,-2.49%
P603WR         ,-1.35%,-18.04%,-2.88%
P603WR125      ,-7.62%,-0.34%,-4.75%
PLASTICTUBE8   ,-99.94%,-6.98%,0.78%
ROPECLIP       ,57.56%,6.95%,-2.84%
SPTAGW         ,-28.88%,-2.49%,4.91%
STRAPCLIP      ,-45.56%,-7.69%,139.56%
TB020375X002250,-100.00%,-45.26%,67.25%
TB020375X044250,-100.00%,57.93%,-241.41%
TB020375X045000,-100.00%,-50.26%,51.95%
TB023375X002250,-100.00%,-80.87%,237.29%
